,fname,lname,email,password,office_address,gender,pincode,state,city,phone_number,experience,specialization,court_type,languages,rating,date_joined,resume,verified
0,Vivaan,Naik,vivaan.naik@hotmail.com,,,Female,,Gujarat,Ahmedabad,3865737565,7,Civil Rights Law,High Court,['Hindi'],3.45,2023-12-17 11:18:15.168835,,False
1,Vihaan,Gupta,vihaan.gupta@yahoo.com,,,Female,,Telangana,Hyderabad,5201644219,14,Criminal Law,High Court,"['Gujarati', 'Bengali', 'Hindi', 'Kannada', 'Telugu']",3.05,2023-12-17 11:18:15.168835,,False
2,Aryan,Rao,aryan.rao@yahoo.com,,,Male,,Maharashtra,Pune,7110683802,24,Personal Injury Law,District Court,"['Telugu', 'Hindi', 'Kannada', 'English', 'Gujarati']",4.75,2023-12-17 11:18:15.168835,,False
3,Hrithik,Kumar,hrithik.kumar@rediffmail.com,,,Female,,Tamil Nadu,Chennai,5212226782,29,Personal Injury Law,Magistrate Court,"['Kannada', 'Hindi', 'Telugu', 'Marathi', 'English', 'Gujarati']",3.48,2023-12-17 11:18:15.168835,,False
4,Vivaan,Roy,vivaan.roy@outlook.com,,,Female,,Maharashtra,Pune,7959546762,15,Criminal Law,Sessions Court,"['English', 'Telugu', 'Gujarati']",3.65,2023-12-17 11:18:15.168835,,False
5,Ishani,Patel,ishani.patel@yahoo.com,,,Male,,Delhi,Delhi,9332800616,26,Personal Injury Law,Sessions Court,"['Marathi', 'Kannada', 'Hindi', 'Telugu', 'Tamil', 'English', 'Bengali']",3.74,2023-12-17 11:18:15.168835,,False
6,Neev,Khan,neev.khan@rediffmail.com,,,Female,,West Bengal,Kolkata,9652176110,25,Family Law,District Court,"['Telugu', 'Marathi', 'Gujarati', 'Bengali', 'English', 'Hindi']",3.09,2023-12-17 11:18:15.168835,,False
7,Ishant,Singh,ishant.singh@outlook.com,,,Female,,Delhi,Delhi,6817190294,24,Corporate Law,District Court,"['Bengali', 'Hindi', 'English', 'Kannada']",4.52,2023-12-17 11:18:15.168835,,False
8,Zara,Pathak,zara.pathak@rediffmail.com,,,Male,,West Bengal,Kolkata,6347428422,17,Real Estate Law,District Court,"['Tamil', 'English', 'Bengali', 'Telugu', 'Marathi', 'Kannada']",4.99,2023-12-17 11:18:15.168835,,False
9,Saisha,Reddy,saisha.reddy@rediffmail.com,,,Male,,West Bengal,Kolkata,3980993766,28,Family Law,District Court,"['Marathi', 'Bengali', 'Hindi', 'Kannada']",3.09,2023-12-17 11:18:15.168835,,False
10,Om,Sharma,om.sharma@hotmail.com,,,Male,,Rajasthan,Jaipur,6011774475,25,Real Estate Law,Sessions Court,"['Hindi', 'Bengali', 'Kannada', 'Marathi', 'Gujarati']",4.75,2023-12-17 11:18:15.168835,,False
11,Yuvika,Chauhan,yuvika.chauhan@rediffmail.com,,,Male,,Karnataka,Bangalore,2926824168,3,Family Law,Sessions Court,['Telugu'],4.26,2023-12-17 11:18:15.168835,,False
12,Zara,Rao,zara.rao@rediffmail.com,,,Male,,Maharashtra,Pune,4263527571,5,Family Law,High Court,['English'],3.27,2023-12-17 11:18:15.168835,,False
13,Ishant,Reddy,ishant.reddy@yahoo.com,,,Female,,Gujarat,Ahmedabad,8436442036,27,Criminal Law,District Court,['English'],3.12,2023-12-17 11:18:15.168835,,False
14,Aarav,Deshmukh,aarav.deshmukh@hotmail.com,,,Male,,Gujarat,Ahmedabad,2432700656,17,Immigration Law,High Court,"['Telugu', 'Bengali', 'Tamil', 'English', 'Marathi', 'Kannada', 'Gujarati', 'Hindi']",4.82,2023-12-17 11:18:15.168835,,False
15,Saisha,Rao,saisha.rao@yahoo.com,,,Male,,Delhi,Delhi,6235613541,7,Family Law,Supreme Court,"['Tamil', 'English', 'Bengali', 'Hindi']",3.54,2023-12-17 11:18:15.168835,,False
16,Diya,Pradhan,diya.pradhan@gmail.com,,,Male,,Telangana,Hyderabad,4948584859,9,Real Estate Law,District Court,['Marathi'],3.45,2023-12-17 11:18:15.168835,,False
17,Samaira,Malhotra,samaira.malhotra@gmail.com,,,Male,,Gujarat,Ahmedabad,8344489815,15,Civil Rights Law,District Court,"['Bengali', 'Gujarati']",4.63,2023-12-17 11:18:15.168835,,False
18,Avni,Khan,avni.khan@gmail.com,,,Male,,Telangana,Hyderabad,6526617521,26,Real Estate Law,Magistrate Court,"['Marathi', 'Hindi', 'Tamil', 'English', 'Gujarati', 'Bengali', 'Telugu']",3.82,2023-12-17 11:18:15.168835,,False
19,Tanishq,Malhotra,tanishq.malhotra@rediffmail.com,,,Female,,Karnataka,Bangalore,2833715508,14,Criminal Law,Sessions Court,"['Hindi', 'Kannada', 'Marathi', 'Telugu', 'Gujarati', 'Bengali', 'English', 'Tamil']",4.36,2023-12-17 11:18:15.168835,,False
20,Avishi,Reddy,avishi.reddy@yahoo.com,,,Female,,Delhi,Delhi,2035776687,7,Civil Rights Law,Magistrate Court,"['Tamil', 'Bengali']",3.83,2023-12-17 11:18:15.168835,,False
21,Mira,Naik,mira.naik@yahoo.com,,,Male,,West Bengal,Kolkata,4789425399,8,Criminal Law,District Court,"['Tamil', 'Gujarati', 'Hindi']",4.4,2023-12-17 11:18:15.168835,,False
22,Zoya,Reddy,zoya.reddy@yahoo.com,,,Female,,Telangana,Hyderabad,2502150827,30,Family Law,Sessions Court,"['Bengali', 'Tamil', 'Gujarati']",3.86,2023-12-17 11:18:15.168835,,False
23,Yuvaan,Shah,yuvaan.shah@hotmail.com,,,Female,,Maharashtra,Mumbai,4341345783,6,Corporate Law,Supreme Court,"['Marathi', 'Tamil', 'Bengali']",4.39,2023-12-17 11:18:15.168835,,False
24,Avishi,Mishra,avishi.mishra@outlook.com,,,Male,,West Bengal,Kolkata,8353822521,7,Personal Injury Law,Supreme Court,"['Tamil', 'Hindi', 'English', 'Bengali']",3.24,2023-12-17 11:18:15.168835,,False
25,Yuvaan,Kumar,yuvaan.kumar@outlook.com,,,Male,,West Bengal,Kolkata,3281310373,1,Corporate Law,High Court,['Gujarati'],3.58,2023-12-17 11:18:15.168835,,False
26,Kritika,Pathak,kritika.pathak@gmail.com,,,Female,,Tamil Nadu,Chennai,6736921258,29,Real Estate Law,Sessions Court,"['Hindi', 'Bengali', 'Marathi', 'Telugu']",4.25,2023-12-17 11:18:15.168835,,False
27,Samaira,Thakur,samaira.thakur@hotmail.com,,,Male,,Rajasthan,Jaipur,2493357066,24,Personal Injury Law,Sessions Court,['Hindi'],4.08,2023-12-17 11:18:15.168835,,False
28,Suhana,Deshmukh,suhana.deshmukh@hotmail.com,,,Male,,Telangana,Hyderabad,4018121503,21,Family Law,Supreme Court,"['Kannada', 'Marathi', 'Gujarati']",4.72,2023-12-17 11:18:15.168835,,False
29,Advik,Reddy,advik.reddy@hotmail.com,,,Male,,Karnataka,Bangalore,2579391810,7,Personal Injury Law,Magistrate Court,"['Tamil', 'Marathi', 'Telugu', 'English', 'Hindi', 'Gujarati', 'Kannada']",3.94,2023-12-17 11:18:15.168835,,False
30,Saisha,Choudhary,saisha.choudhary@yahoo.com,,,Female,,Karnataka,Bangalore,8651466182,6,Family Law,Supreme Court,"['Hindi', 'English', 'Bengali', 'Kannada', 'Tamil']",4.06,2023-12-17 11:18:15.168835,,False
31,Shaurya,Kumar,shaurya.kumar@hotmail.com,,,Female,,Delhi,Delhi,1704977059,11,Real Estate Law,Supreme Court,"['Tamil', 'Bengali', 'Telugu', 'Gujarati', 'Kannada']",4.95,2023-12-17 11:18:15.168835,,False
32,Aadi,Verma,aadi.verma@gmail.com,,,Male,,Uttar Pradesh,Lucknow,2192700159,21,Immigration Law,Magistrate Court,"['Bengali', 'English', 'Marathi']",4.21,2023-12-17 11:18:15.168835,,False
33,Rudra,Deshmukh,rudra.deshmukh@rediffmail.com,,,Female,,Delhi,Delhi,8471128210,15,Immigration Law,Supreme Court,"['Hindi', 'Kannada', 'Bengali', 'Tamil', 'English', 'Gujarati', 'Marathi', 'Telugu']",3.71,2023-12-17 11:18:15.168835,,False
34,Shlok,Rao,shlok.rao@outlook.com,,,Female,,Rajasthan,Jaipur,4841759347,25,Civil Rights Law,Magistrate Court,"['Hindi', 'Kannada', 'Marathi', 'English', 'Tamil', 'Gujarati']",3.38,2023-12-17 11:18:15.168835,,False
35,Rohan,Naik,rohan.naik@gmail.com,,,Male,,Rajasthan,Jaipur,4155073222,20,Corporate Law,Sessions Court,"['English', 'Gujarati', 'Hindi', 'Kannada', 'Bengali', 'Marathi', 'Telugu']",3.21,2023-12-17 11:18:15.168835,,False
36,Diya,Sharma,diya.sharma@rediffmail.com,,,Male,,Rajasthan,Jaipur,3479817980,24,Corporate Law,District Court,"['Kannada', 'Marathi']",4.61,2023-12-17 11:18:15.168835,,False
37,Ishika,Yadav,ishika.yadav@rediffmail.com,,,Female,,Telangana,Hyderabad,7226610345,10,Corporate Law,Magistrate Court,"['Kannada', 'Telugu', 'Tamil', 'English', 'Marathi', 'Bengali', 'Hindi', 'Gujarati']",4.27,2023-12-17 11:18:15.168835,,False
38,Tanishq,Pradhan,tanishq.pradhan@rediffmail.com,,,Male,,Karnataka,Bangalore,1652498542,14,Real Estate Law,Supreme Court,"['Hindi', 'Telugu', 'Tamil', 'Gujarati', 'Marathi']",3.98,2023-12-17 11:18:15.168835,,False
39,Riya,Pandey,riya.pandey@yahoo.com,,,Female,,West Bengal,Kolkata,6997386534,14,Family Law,Supreme Court,"['Marathi', 'Telugu', 'Gujarati']",4.73,2023-12-17 11:18:15.168835,,False
40,Zara,Choudhary,zara.choudhary@hotmail.com,,,Male,,West Bengal,Kolkata,8479897107,4,Corporate Law,Magistrate Court,"['Kannada', 'Telugu', 'Hindi']",3.64,2023-12-17 11:18:15.168835,,False
41,Pranav,Shah,pranav.shah@gmail.com,,,Male,,West Bengal,Kolkata,4143281312,29,Civil Rights Law,District Court,['Hindi'],4.57,2023-12-17 11:18:15.168835,,False
42,Atharva,Thakur,atharva.thakur@outlook.com,,,Male,,Telangana,Hyderabad,3541145454,12,Criminal Law,High Court,['Telugu'],3.32,2023-12-17 11:18:15.168835,,False
43,Ishika,Patel,ishika.patel@yahoo.com,,,Male,,Telangana,Hyderabad,1418795230,8,Personal Injury Law,High Court,"['Hindi', 'English', 'Marathi', 'Bengali', 'Tamil', 'Kannada']",4.51,2023-12-17 11:18:15.168835,,False
44,Vihaan,Jha,vihaan.jha@gmail.com,,,Female,,Karnataka,Bangalore,3169416380,23,Real Estate Law,Sessions Court,['Telugu'],3.06,2023-12-17 11:18:15.168835,,False
45,Vivaan,Pandey,vivaan.pandey@yahoo.com,,,Male,,Tamil Nadu,Chennai,1155775497,9,Family Law,Magistrate Court,"['Kannada', 'Hindi']",4.32,2023-12-17 11:18:15.168835,,False
46,Yash,Malhotra,yash.malhotra@yahoo.com,,,Female,,Rajasthan,Jaipur,2367111923,26,Personal Injury Law,Magistrate Court,"['Tamil', 'Telugu', 'Kannada', 'Hindi', 'Bengali', 'English']",3.71,2023-12-17 11:18:15.168835,,False
47,Niyati,Jha,niyati.jha@hotmail.com,,,Male,,West Bengal,Kolkata,2077222726,8,Civil Rights Law,Supreme Court,"['Bengali', 'Telugu', 'Tamil', 'Hindi', 'Gujarati']",4.36,2023-12-17 11:18:15.168835,,False
48,Tanvi,Pathak,tanvi.pathak@rediffmail.com,,,Male,,Tamil Nadu,Chennai,2451760122,26,Corporate Law,Supreme Court,"['Tamil', 'Telugu', 'Marathi', 'Hindi', 'Gujarati', 'Bengali', 'English']",4.49,2023-12-17 11:18:15.168835,,False
49,Sia,Khan,sia.khan@gmail.com,,,Female,,Rajasthan,Jaipur,2480731604,6,Real Estate Law,High Court,"['Gujarati', 'Marathi', 'Kannada', 'Tamil', 'Telugu', 'English', 'Hindi', 'Bengali']",3.07,2023-12-17 11:18:15.168835,,False
50,Aarohi,Thakur,aarohi.thakur@outlook.com,,,Female,,West Bengal,Kolkata,9744230545,17,Criminal Law,District Court,"['Kannada', 'Hindi', 'Marathi']",4.01,2023-12-17 11:18:15.168835,,False
51,Hrithik,Mishra,hrithik.mishra@hotmail.com,,,Female,,Karnataka,Bangalore,8724208598,16,Personal Injury Law,Magistrate Court,"['Kannada', 'Marathi', 'Tamil', 'English', 'Gujarati']",3.27,2023-12-17 11:18:15.168835,,False
52,Aditya,Malhotra,aditya.malhotra@yahoo.com,,,Female,,West Bengal,Kolkata,2370899350,23,Criminal Law,Supreme Court,['Marathi'],3.57,2023-12-17 11:18:15.168835,,False
53,Eshan,Kumar,eshan.kumar@hotmail.com,,,Male,,Karnataka,Bangalore,868950344,7,Family Law,Sessions Court,"['Bengali', 'Gujarati', 'English']",3.2,2023-12-17 11:18:15.168835,,False
54,Ishita,Pandey,ishita.pandey@rediffmail.com,,,Female,,Maharashtra,Pune,6192874555,22,Family Law,District Court,['Bengali'],4.89,2023-12-17 11:18:15.168835,,False
55,Neev,Thakur,neev.thakur@gmail.com,,,Male,,Gujarat,Ahmedabad,6972954599,28,Immigration Law,District Court,"['English', 'Telugu', 'Tamil']",3.13,2023-12-17 11:18:15.168835,,False
56,Mihika,Verma,mihika.verma@hotmail.com,,,Male,,Maharashtra,Mumbai,7313405953,4,Immigration Law,District Court,"['English', 'Kannada', 'Tamil']",3.73,2023-12-17 11:18:15.168835,,False
57,Arjun,Mishra,arjun.mishra@outlook.com,,,Male,,Tamil Nadu,Chennai,7507331263,29,Corporate Law,Sessions Court,"['Gujarati', 'English', 'Marathi', 'Bengali']",3.49,2023-12-17 11:18:15.168835,,False
58,Kavya,Mishra,kavya.mishra@yahoo.com,,,Female,,Rajasthan,Jaipur,1271533962,7,Family Law,Sessions Court,"['Tamil', 'Marathi', 'English']",3.34,2023-12-17 11:18:15.168835,,False
59,Ishwar,Verma,ishwar.verma@hotmail.com,,,Female,,Maharashtra,Pune,3488990875,15,Family Law,District Court,['Gujarati'],3.46,2023-12-17 11:18:15.168835,,False
60,Misha,Malhotra,misha.malhotra@hotmail.com,,,Female,,Telangana,Hyderabad,6583355124,8,Immigration Law,Magistrate Court,"['Gujarati', 'Kannada', 'Hindi', 'English']",4.05,2023-12-17 11:18:15.168835,,False
61,Samaira,Patel,samaira.patel@yahoo.com,,,Female,,Delhi,Delhi,8070592054,28,Civil Rights Law,Magistrate Court,['Hindi'],4.43,2023-12-17 11:18:15.168835,,False
62,Yuvaan,Choudhary,yuvaan.choudhary@outlook.com,,,Male,,Maharashtra,Mumbai,6455510430,25,Corporate Law,Magistrate Court,"['Bengali', 'Gujarati', 'Tamil']",4.7,2023-12-17 11:18:15.168835,,False
63,Suhana,Verma,suhana.verma@outlook.com,,,Female,,Rajasthan,Jaipur,3067661214,10,Family Law,District Court,"['Telugu', 'Bengali', 'Tamil', 'Hindi', 'English', 'Kannada', 'Gujarati', 'Marathi']",3.19,2023-12-17 11:18:15.168835,,False
64,Aarav,Choudhary,aarav.choudhary@gmail.com,,,Male,,Gujarat,Ahmedabad,8130519765,9,Real Estate Law,High Court,['Bengali'],4.48,2023-12-17 11:18:15.168835,,False
65,Pari,Choudhary,pari.choudhary@hotmail.com,,,Male,,Maharashtra,Mumbai,2535275476,5,Civil Rights Law,Magistrate Court,"['Tamil', 'Gujarati']",3.44,2023-12-17 11:18:15.168835,,False
66,Aarushi,Pandey,aarushi.pandey@gmail.com,,,Female,,Uttar Pradesh,Lucknow,9556592662,3,Civil Rights Law,High Court,"['English', 'Kannada', 'Gujarati', 'Hindi', 'Bengali', 'Marathi']",3.02,2023-12-17 11:18:15.168835,,False
67,Ananya,Thakur,ananya.thakur@gmail.com,,,Female,,Karnataka,Bangalore,7359975938,11,Criminal Law,High Court,"['Telugu', 'Tamil', 'English', 'Marathi', 'Kannada', 'Gujarati', 'Hindi']",3.05,2023-12-17 11:18:15.168835,,False
68,Vivaan,Shah,vivaan.shah@rediffmail.com,,,Female,,Gujarat,Ahmedabad,5255208927,13,Immigration Law,High Court,"['Marathi', 'Hindi', 'English', 'Gujarati']",3.31,2023-12-17 11:18:15.168835,,False
69,Zoya,Gupta,zoya.gupta@hotmail.com,,,Male,,Rajasthan,Jaipur,1326833358,8,Corporate Law,High Court,['Gujarati'],3.77,2023-12-17 11:18:15.168835,,False
70,Aarohi,Pradhan,aarohi.pradhan@hotmail.com,,,Female,,Karnataka,Bangalore,3481459579,28,Civil Rights Law,Supreme Court,"['Gujarati', 'Kannada', 'Hindi', 'Bengali', 'English', 'Marathi', 'Tamil']",3.41,2023-12-17 11:18:15.168835,,False
71,Ananya,Das,ananya.das@gmail.com,,,Female,,Karnataka,Bangalore,8732701870,11,Real Estate Law,Sessions Court,"['Bengali', 'Tamil', 'Hindi', 'Marathi']",4.33,2023-12-17 11:18:15.168835,,False
72,Misha,Patel,misha.patel@rediffmail.com,,,Male,,West Bengal,Kolkata,973114420,17,Corporate Law,High Court,"['Gujarati', 'Hindi', 'English', 'Bengali', 'Marathi', 'Tamil', 'Kannada']",3.94,2023-12-17 11:18:15.168835,,False
73,Pranav,Roy,pranav.roy@hotmail.com,,,Male,,West Bengal,Kolkata,3028407021,30,Criminal Law,Magistrate Court,"['Marathi', 'Hindi']",4.44,2023-12-17 11:18:15.168835,,False
74,Zain,Mishra,zain.mishra@rediffmail.com,,,Male,,Tamil Nadu,Chennai,6453454766,30,Criminal Law,Supreme Court,"['Kannada', 'Telugu', 'Hindi', 'English', 'Gujarati', 'Bengali', 'Tamil']",4.63,2023-12-17 11:18:15.168835,,False
75,Daivik,Mishra,daivik.mishra@rediffmail.com,,,Male,,Telangana,Hyderabad,2999832244,3,Personal Injury Law,High Court,"['Kannada', 'Hindi', 'English', 'Telugu', 'Gujarati', 'Tamil', 'Bengali']",3.55,2023-12-17 11:18:15.168835,,False
76,Zain,Das,zain.das@yahoo.com,,,Female,,Delhi,Delhi,2923593251,1,Family Law,Supreme Court,"['Kannada', 'Gujarati', 'Bengali']",4.74,2023-12-17 11:18:15.168835,,False
77,Esha,Roy,esha.roy@yahoo.com,,,Female,,Rajasthan,Jaipur,5997729983,25,Criminal Law,High Court,"['Hindi', 'Marathi']",3.58,2023-12-17 11:18:15.168835,,False
78,Jhanvi,Yadav,jhanvi.yadav@yahoo.com,,,Male,,Uttar Pradesh,Lucknow,5961622721,19,Personal Injury Law,District Court,"['Gujarati', 'Marathi', 'Telugu', 'Kannada', 'Bengali', 'English', 'Hindi', 'Tamil']",3.67,2023-12-17 11:18:15.168835,,False
79,Eshan,Das,eshan.das@gmail.com,,,Male,,Tamil Nadu,Chennai,8071277017,27,Corporate Law,Supreme Court,"['Hindi', 'Telugu', 'Marathi', 'Kannada', 'Tamil', 'Bengali', 'English', 'Gujarati']",3.7,2023-12-17 11:18:15.168835,,False
80,Aarav,Kumar,aarav.kumar@hotmail.com,,,Female,,Uttar Pradesh,Lucknow,8898345424,21,Civil Rights Law,Magistrate Court,"['English', 'Bengali', 'Tamil', 'Marathi', 'Telugu', 'Hindi', 'Gujarati', 'Kannada']",3.52,2023-12-17 11:18:15.168835,,False
81,Yuvika,Chauhan,yuvika.chauhan@yahoo.com,,,Female,,Tamil Nadu,Chennai,9343043215,22,Immigration Law,Supreme Court,['Hindi'],4.49,2023-12-17 11:18:15.168835,,False
82,Shaurya,Kumar,shaurya.kumar@yahoo.com,,,Female,,Karnataka,Bangalore,8383911380,14,Personal Injury Law,District Court,['Gujarati'],4.54,2023-12-17 11:18:15.168835,,False
83,Hrithik,Yadav,hrithik.yadav@rediffmail.com,,,Male,,Karnataka,Bangalore,2279689494,5,Real Estate Law,Sessions Court,"['Marathi', 'Gujarati', 'Telugu', 'Kannada']",3.93,2023-12-17 11:18:15.168835,,False
84,Mihika,Pathak,mihika.pathak@hotmail.com,,,Female,,Delhi,Delhi,8348259033,26,Family Law,High Court,"['Kannada', 'Telugu', 'Hindi', 'Marathi', 'English', 'Bengali', 'Tamil', 'Gujarati']",3.27,2023-12-17 11:18:15.168835,,False
85,Vidhi,Kumar,vidhi.kumar@outlook.com,,,Female,,Tamil Nadu,Chennai,1593346815,1,Real Estate Law,High Court,"['Hindi', 'English']",4.53,2023-12-17 11:18:15.168835,,False
86,Aryan,Kumar,aryan.kumar@rediffmail.com,,,Female,,West Bengal,Kolkata,4238530530,12,Immigration Law,Magistrate Court,"['Bengali', 'Telugu']",3.49,2023-12-17 11:18:15.168835,,False
87,Diya,Shah,diya.shah@gmail.com,,,Female,,West Bengal,Kolkata,6627789251,16,Criminal Law,Magistrate Court,"['Marathi', 'Bengali', 'Telugu', 'Tamil', 'Hindi', 'Gujarati', 'English', 'Kannada']",3.73,2023-12-17 11:18:15.168835,,False
88,Sia,Patel,sia.patel@rediffmail.com,,,Male,,West Bengal,Kolkata,1691591996,2,Immigration Law,District Court,['English'],3.63,2023-12-17 11:18:15.168835,,False
89,Vansh,Jha,vansh.jha@outlook.com,,,Male,,Telangana,Hyderabad,8050707938,30,Immigration Law,Sessions Court,"['Telugu', 'Kannada', 'Bengali', 'Marathi', 'Tamil', 'Gujarati', 'English']",4.01,2023-12-17 11:18:15.168835,,False
90,Kiara,Thakur,kiara.thakur@rediffmail.com,,,Male,,West Bengal,Kolkata,1063477462,21,Criminal Law,High Court,"['Kannada', 'Gujarati']",3.55,2023-12-17 11:18:15.168835,,False
91,Vansh,Gupta,vansh.gupta@gmail.com,,,Male,,Maharashtra,Mumbai,2058576176,2,Criminal Law,Sessions Court,"['English', 'Marathi', 'Gujarati', 'Kannada']",3.54,2023-12-17 11:18:15.168835,,False
92,Pranav,Deshmukh,pranav.deshmukh@gmail.com,,,Male,,Uttar Pradesh,Lucknow,1625350212,3,Real Estate Law,Supreme Court,"['Gujarati', 'Bengali', 'Tamil', 'Marathi', 'Kannada', 'Telugu', 'Hindi', 'English']",3.46,2023-12-17 11:18:15.168835,,False
93,Shaurya,Choudhary,shaurya.choudhary@gmail.com,,,Female,,West Bengal,Kolkata,5526630509,14,Real Estate Law,Supreme Court,"['Hindi', 'Marathi']",4.77,2023-12-17 11:18:15.168835,,False
94,Shreya,Singh,shreya.singh@hotmail.com,,,Female,,Tamil Nadu,Chennai,1541273754,5,Family Law,Sessions Court,"['Kannada', 'Hindi', 'English', 'Marathi', 'Bengali', 'Tamil', 'Telugu']",3.06,2023-12-17 11:18:15.168835,,False
95,Kabir,Jha,kabir.jha@rediffmail.com,,,Male,,Maharashtra,Mumbai,9227388017,14,Immigration Law,Magistrate Court,"['Hindi', 'Gujarati']",3.04,2023-12-17 11:18:15.168835,,False
96,Mira,Reddy,mira.reddy@yahoo.com,,,Female,,West Bengal,Kolkata,1384720415,19,Real Estate Law,Sessions Court,"['Hindi', 'Marathi']",4.37,2023-12-17 11:18:15.168835,,False
