,fname,lname,email,password,office_address,gender,pincode,state,city,phone_number,experience,specialization,court_type,languages,rating,date_joined,degree_doc,verified,min_cost_per_hr
0,Ishani,Patel,ishani.patel@hotmail.com,,,Female,600063,Tamil Nadu,Chennai,1022810753,9,Personal Injury Law,District Court,"['Tamil', 'Hindi', 'Kannada']",3.06,2023-12-19 21:50:58.549698,,True,2401
1,Ananya,Shah,ananya.shah@outlook.com,,,Female,600015,Tamil Nadu,Chennai,2253020998,7,Immigration Law,District Court,"['Gujarati', 'English', 'Telugu', 'Tamil']",4.76,2023-12-19 21:50:58.549698,,True,2192
2,Saanvi,Pathak,saanvi.pathak@gmail.com,,,Female,560073,Karnataka,Bangalore,6563879086,12,Personal Injury Law,Magistrate Court,"['Hindi', 'Tamil', 'Telugu', 'English', 'Bengali', 'Gujarati']",3.17,2023-12-19 21:50:58.549698,,True,2580
3,Aarohi,Chauhan,aarohi.chauhan@hotmail.com,,,Female,500052,Telangana,Hyderabad,3737053881,21,Immigration Law,High Court,"['English', 'Tamil', 'Marathi', 'Bengali', 'Gujarati', 'Hindi']",3.48,2023-12-19 21:50:58.549698,,True,5043
4,Ved,Thakur,ved.thakur@outlook.com,,,Male,560044,Karnataka,Bangalore,3044011760,8,Family Law,Supreme Court,"['Tamil', 'Kannada', 'English', 'Bengali', 'Telugu']",3.11,2023-12-19 21:50:58.549698,,True,2045
5,Shiv,Malhotra,shiv.malhotra@rediffmail.com,,,Female,600057,Tamil Nadu,Chennai,1429911369,16,Family Law,Magistrate Court,"['Hindi', 'Tamil', 'English', 'Gujarati', 'Kannada']",4.66,2023-12-19 21:50:58.549698,,True,2695
6,Kavya,Choudhary,kavya.choudhary@rediffmail.com,,,Male,411045,Maharashtra,Mumbai,6591140557,24,Personal Injury Law,District Court,"['Marathi', 'Tamil', 'Gujarati', 'English', 'Bengali', 'Kannada']",3.53,2023-12-19 21:50:58.549698,,True,4099
7,Riya,Pradhan,riya.pradhan@gmail.com,,,Female,411092,Maharashtra,Mumbai,9852254597,1,Corporate Law,High Court,"['English', 'Marathi', 'Tamil', 'Gujarati', 'Kannada']",4.58,2023-12-19 21:50:58.549698,,True,3473
8,Avishi,Mishra,avishi.mishra@gmail.com,,,Female,380013,Gujarat,Ahmedabad,5310910679,10,Criminal Law,Sessions Court,"['Bengali', 'English', 'Marathi', 'Tamil']",3.22,2023-12-19 21:50:58.549698,,True,6436
9,Ishwar,Gupta,ishwar.gupta@outlook.com,,,Female,302046,Rajasthan,Jaipur,6979681286,25,Family Law,Sessions Court,"['Tamil', 'Marathi']",3.45,2023-12-19 21:50:58.549698,,True,6191
10,Ved,Roy,ved.roy@hotmail.com,,,Female,380083,Gujarat,Ahmedabad,7549340170,9,Corporate Law,District Court,"['Telugu', 'Marathi', 'Gujarati', 'Hindi', 'English', 'Bengali', 'Kannada']",3.27,2023-12-19 21:50:58.549698,,True,5697
11,Shlok,Reddy,shlok.reddy@gmail.com,,,Female,110098,Delhi,Delhi,7352807903,4,Criminal Law,Magistrate Court,"['Kannada', 'Hindi']",4.11,2023-12-19 21:50:58.549698,,True,4725
12,Vihaan,Khan,vihaan.khan@outlook.com,,,Male,380097,Gujarat,Ahmedabad,1174749110,12,Immigration Law,Magistrate Court,"['Kannada', 'Gujarati', 'Tamil', 'Hindi', 'Marathi', 'English', 'Telugu', 'Bengali']",3.01,2023-12-19 21:50:58.549698,,True,4103
13,Amaira,Naik,amaira.naik@yahoo.com,,,Female,560078,Karnataka,Bangalore,6715007486,10,Immigration Law,District Court,"['Kannada', 'Gujarati', 'Hindi', 'English', 'Bengali']",3.93,2023-12-19 21:50:58.549698,,True,2943
14,Jhanvi,Chauhan,jhanvi.chauhan@outlook.com,,,Female,302031,Rajasthan,Jaipur,1401036716,6,Corporate Law,Magistrate Court,"['Marathi', 'Gujarati', 'Bengali', 'Telugu', 'English']",3.96,2023-12-19 21:50:58.549698,,True,2452
15,Ananya,Deshmukh,ananya.deshmukh@hotmail.com,,,Male,411060,Maharashtra,Pune,7093774442,16,Real Estate Law,Magistrate Court,"['Marathi', 'Gujarati', 'Bengali', 'Tamil', 'Telugu', 'Kannada', 'English', 'Hindi']",4.88,2023-12-19 21:50:58.549698,,True,2521
16,Kritika,Naik,kritika.naik@outlook.com,,,Male,380040,Gujarat,Ahmedabad,5032444547,3,Civil Rights Law,Magistrate Court,"['Marathi', 'Kannada', 'Tamil', 'Hindi', 'Bengali', 'Telugu']",3.56,2023-12-19 21:50:58.549698,,True,6218
17,Ishwar,Singh,ishwar.singh@outlook.com,,,Female,500064,Telangana,Hyderabad,7302100170,30,Immigration Law,Supreme Court,"['Marathi', 'Gujarati', 'Telugu', 'Hindi']",3.3,2023-12-19 21:50:58.549698,,True,6841
18,Ishita,Malhotra,ishita.malhotra@outlook.com,,,Male,700096,West Bengal,Kolkata,6580510432,25,Immigration Law,High Court,"['Gujarati', 'Hindi', 'Marathi', 'Telugu', 'Tamil', 'English']",3.49,2023-12-19 21:50:58.549698,,True,4836
19,Kiara,Yadav,kiara.yadav@hotmail.com,,,Female,600083,Tamil Nadu,Chennai,6117878033,4,Family Law,High Court,"['Marathi', 'Hindi', 'Telugu', 'Bengali', 'Tamil', 'English', 'Gujarati', 'Kannada']",4.95,2023-12-19 21:50:58.549698,,True,6463
20,Vivaan,Kumar,vivaan.kumar@rediffmail.com,,,Male,600097,Tamil Nadu,Chennai,7604138218,3,Civil Rights Law,High Court,"['Tamil', 'Marathi']",3.66,2023-12-19 21:50:58.549698,,True,4348
21,Shlok,Khan,shlok.khan@rediffmail.com,,,Male,560062,Karnataka,Bangalore,3218894247,1,Criminal Law,Magistrate Court,"['Hindi', 'Tamil', 'Kannada', 'Bengali']",3.98,2023-12-19 21:50:58.549698,,True,5467
22,Aarav,Reddy,aarav.reddy@yahoo.com,,,Female,226016,Uttar Pradesh,Lucknow,9848095937,2,Personal Injury Law,Supreme Court,"['Hindi', 'Marathi', 'Tamil', 'Gujarati', 'Telugu', 'Kannada', 'English', 'Bengali']",4.13,2023-12-19 21:50:58.549698,,True,3049
23,Ishaan,Kumar,ishaan.kumar@outlook.com,,,Male,226023,Uttar Pradesh,Lucknow,5282446967,19,Civil Rights Law,Magistrate Court,['Gujarati'],4.97,2023-12-19 21:50:58.549698,,True,4278
24,Kabir,Jha,kabir.jha@rediffmail.com,,,Male,500099,Telangana,Hyderabad,5969671019,17,Family Law,Magistrate Court,"['Gujarati', 'Marathi', 'Hindi', 'Tamil', 'Kannada', 'English', 'Bengali']",3.14,2023-12-19 21:50:58.549698,,True,5828
25,Zain,Choudhary,zain.choudhary@yahoo.com,,,Female,380072,Gujarat,Ahmedabad,1925240384,6,Personal Injury Law,Sessions Court,"['Gujarati', 'Tamil', 'Bengali', 'Hindi', 'Telugu', 'English', 'Kannada', 'Marathi']",3.89,2023-12-19 21:50:58.549698,,True,5414
26,Pari,Gupta,pari.gupta@gmail.com,,,Male,302020,Rajasthan,Jaipur,4884151831,23,Civil Rights Law,District Court,"['Gujarati', 'Tamil', 'Hindi', 'Telugu']",3.7,2023-12-19 21:50:58.549698,,True,2184
27,Ishani,Kumar,ishani.kumar@hotmail.com,,,Male,110057,Delhi,Delhi,5497539381,3,Personal Injury Law,Sessions Court,"['Bengali', 'Marathi', 'English', 'Telugu', 'Kannada']",4.89,2023-12-19 21:50:58.549698,,True,4098
28,Pari,Das,pari.das@gmail.com,,,Male,302070,Rajasthan,Jaipur,6017959461,30,Family Law,Supreme Court,"['Kannada', 'Hindi', 'Tamil', 'Bengali']",4.41,2023-12-19 21:50:58.549698,,True,4942
29,Aarohi,Choudhary,aarohi.choudhary@yahoo.com,,,Male,380064,Gujarat,Ahmedabad,4771868362,13,Civil Rights Law,Magistrate Court,"['English', 'Tamil', 'Gujarati', 'Telugu']",4.52,2023-12-19 21:50:58.549698,,True,6743
30,Ishika,Das,ishika.das@rediffmail.com,,,Male,560017,Karnataka,Bangalore,4802679605,22,Civil Rights Law,Magistrate Court,"['Gujarati', 'Hindi', 'Telugu', 'Kannada', 'English', 'Marathi', 'Tamil']",3.32,2023-12-19 21:50:58.549698,,True,2442
31,Ishant,Choudhary,ishant.choudhary@rediffmail.com,,,Male,500088,Telangana,Hyderabad,6882317382,25,Personal Injury Law,District Court,"['Gujarati', 'Hindi', 'English']",4.99,2023-12-19 21:50:58.549698,,True,4559
32,Esha,Shah,esha.shah@outlook.com,,,Female,560037,Karnataka,Bangalore,3122243506,30,Family Law,Magistrate Court,"['Tamil', 'English', 'Hindi', 'Gujarati', 'Bengali', 'Telugu', 'Kannada']",3.46,2023-12-19 21:50:58.549698,,True,5795
33,Bhavya,Khan,bhavya.khan@yahoo.com,,,Male,226058,Uttar Pradesh,Lucknow,5165608219,7,Family Law,Sessions Court,"['Kannada', 'English', 'Tamil', 'Bengali', 'Hindi', 'Marathi', 'Gujarati']",3.34,2023-12-19 21:50:58.549698,,True,4149
34,Ishant,Yadav,ishant.yadav@hotmail.com,,,Male,500011,Telangana,Hyderabad,2514152918,6,Personal Injury Law,Supreme Court,"['Kannada', 'Telugu', 'Marathi', 'Bengali', 'Hindi', 'Gujarati', 'Tamil', 'English']",4.93,2023-12-19 21:50:58.549698,,True,3834
35,Mihika,Deshmukh,mihika.deshmukh@gmail.com,,,Male,226034,Uttar Pradesh,Lucknow,5347074261,23,Civil Rights Law,Magistrate Court,"['Tamil', 'Hindi', 'Bengali', 'Gujarati', 'Telugu', 'Marathi']",3.1,2023-12-19 21:50:58.549698,,True,6666
